"","R10.0_45.0","R12.5_45.0","R10.0_42.5","R12.5_42.5"
"1979-01-01 00:00:00",74,77,62,67
"1979-01-01 06:00:00",73,77,60,62
"1979-01-01 12:00:00",77,78,62,65
"1979-01-01 18:00:00",71,77,50,58
"1979-01-02 00:00:00",98,93,66,65
"1979-01-02 06:00:00",70,81,70,79
"1979-01-02 12:00:00",47,58,59,64
"1979-01-02 18:00:00",93,72,65,60
"1979-01-03 00:00:00",23,16,64,45
"1979-01-03 06:00:00",88,95,69,66
"1979-01-03 12:00:00",67,72,61,57
"1979-01-03 18:00:00",69,81,52,56
"1979-01-04 00:00:00",92,76,80,67
"1979-01-04 06:00:00",100,98,93,82
"1979-01-04 12:00:00",99,91,95,74
"1979-01-04 18:00:00",100,97,95,91
"1979-01-05 00:00:00",92,97,86,95
"1979-01-05 06:00:00",93,100,79,88
"1979-01-05 12:00:00",77,74,77,80
"1979-01-05 18:00:00",88,91,81,84
"1979-01-06 00:00:00",82,88,84,87
"1979-01-06 06:00:00",92,96,91,95
"1979-01-06 12:00:00",80,83,76,79
"1979-01-06 18:00:00",90,95,81,88
"1979-01-07 00:00:00",58,71,81,87
"1979-01-07 06:00:00",72,81,90,94
"1979-01-07 12:00:00",79,76,69,72
"1979-01-07 18:00:00",86,83,76,77
"1979-01-08 00:00:00",79,77,72,77
"1979-01-08 06:00:00",86,78,85,83
"1979-01-08 12:00:00",78,82,67,68
"1979-01-08 18:00:00",83,81,72,71
"1979-01-09 00:00:00",98,99,91,92
"1979-01-09 06:00:00",97,95,96,93
"1979-01-09 12:00:00",100,100,95,92
"1979-01-09 18:00:00",100,100,95,95
"1979-01-10 00:00:00",90,100,89,97
"1979-01-10 06:00:00",96,100,81,89
"1979-01-10 12:00:00",86,94,68,77
"1979-01-10 18:00:00",88,100,64,75
"1979-01-11 00:00:00",88,91,80,79
"1979-01-11 06:00:00",100,99,98,96
"1979-01-11 12:00:00",54,76,63,81
"1979-01-11 18:00:00",81,75,61,63
"1979-01-12 00:00:00",72,71,66,66
"1979-01-12 06:00:00",93,92,50,70
"1979-01-12 12:00:00",78,84,53,60
"1979-01-12 18:00:00",98,96,66,67
"1979-01-13 00:00:00",78,71,67,62
"1979-01-13 06:00:00",100,93,74,73
"1979-01-13 12:00:00",64,68,59,54
"1979-01-13 18:00:00",88,87,49,51
"1979-01-14 00:00:00",70,64,53,57
"1979-01-14 06:00:00",90,90,66,71
"1979-01-14 12:00:00",80,74,54,49
"1979-01-14 18:00:00",84,88,52,54
"1979-01-15 00:00:00",85,76,62,61
"1979-01-15 06:00:00",84,89,68,75
"1979-01-15 12:00:00",75,66,65,58
"1979-01-15 18:00:00",91,87,62,60
"1979-01-16 00:00:00",76,72,66,68
"1979-01-16 06:00:00",84,81,65,68
"1979-01-16 12:00:00",59,60,45,48
"1979-01-16 18:00:00",83,87,49,54
"1979-01-17 00:00:00",84,92,70,82
"1979-01-17 06:00:00",100,99,86,86
"1979-01-17 12:00:00",75,74,56,57
"1979-01-17 18:00:00",91,93,58,58
"1979-01-18 00:00:00",100,100,74,71
"1979-01-18 06:00:00",93,93,77,79
"1979-01-18 12:00:00",88,88,69,61
"1979-01-18 18:00:00",94,96,70,71
"1979-01-19 00:00:00",86,100,81,86
"1979-01-19 06:00:00",88,95,82,88
"1979-01-19 12:00:00",68,77,67,65
"1979-01-19 18:00:00",78,81,73,76
"1979-01-20 00:00:00",75,79,81,78
"1979-01-20 06:00:00",86,84,87,83
"1979-01-20 12:00:00",100,91,94,81
"1979-01-20 18:00:00",100,96,98,88
"1979-01-21 00:00:00",95,92,100,94
"1979-01-21 06:00:00",94,94,97,100
"1979-01-21 12:00:00",100,100,95,97
"1979-01-21 18:00:00",100,100,98,100
"1979-01-22 00:00:00",99,100,89,96
"1979-01-22 06:00:00",97,94,93,94
"1979-01-22 12:00:00",100,100,97,97
"1979-01-22 18:00:00",97,94,93,89
"1979-01-23 00:00:00",100,100,100,98
"1979-01-23 06:00:00",100,98,94,87
"1979-01-23 12:00:00",100,99,92,89
"1979-01-23 18:00:00",99,97,90,94
"1979-01-24 00:00:00",95,100,95,96
"1979-01-24 06:00:00",100,99,90,91
"1979-01-24 12:00:00",95,96,81,87
"1979-01-24 18:00:00",100,100,86,91
"1979-01-25 00:00:00",100,98,81,88
"1979-01-25 06:00:00",98,100,84,88
"1979-01-25 12:00:00",100,100,83,89
"1979-01-25 18:00:00",94,99,78,88
"1979-01-26 00:00:00",92,96,78,90
"1979-01-26 06:00:00",94,94,76,82
"1979-01-26 12:00:00",90,90,75,80
"1979-01-26 18:00:00",100,94,86,80
"1979-01-27 00:00:00",96,99,91,92
"1979-01-27 06:00:00",99,95,96,98
"1979-01-27 12:00:00",98,95,89,89
"1979-01-27 18:00:00",100,94,90,90
